FCS	4990.46	998.092	170
Fisher	46343.28	1287.3133333333333333333333333	1051
Fisher Diagnostics	9675.00	1935.00	0
Thermo	34780.00	1391.20	217
ARBOR PHARM	1450.00	1450.00	0
Janssen	110855.53	1108.5553	735
ETS	345675.00	1452.4159663865546218487394958	988
Actavis	13996.00	6998.00	0
Rio Brands	1750.00	875.00	0
NPC	2700.00	2700.00	0
Penn Color	3895.00	779.00	0
CI - Group	7800.00	2600.00	867
Bally	3935.00	1967.50	0
Ballys	600.00	600.00	0
RP Logistics	8680.00	4340.00	0
GPJ	13560.00	1356.00	0
International Vault	1200.00	1200.00	0
WL Gore	14765.00	2460.8333333333333333333333333	0
Arbor	7250.30	1812.575	488
Lundbeck	1959.90	1959.90	0
Plexis	3180.00	3180.00	0
Richard Allan Scientific	4600.00	2300.00	0
QVC	1500.00	1500.00	0
Proliant	3450.00	3450.00	0
CDC	3757.44	3757.44	0
Thermo Fisher	2167.22	2167.22	0
Iowa State Univ	4990.00	4990.00	0
PTC	12342.72	2057.12	1486
CI-Group	2600.00	2600.00	2600
PTC THERAPEUTICS	9127.23	3042.41	1204
NPC Inc	550.00	550.00	0
Palziv	7170.00	1195.00	533
USCG	1556.00	1556.00	0
Connection World Wide	800.00	800.00	0
Sunovion	1600.00	1600.00	0
Alphagraphics	1250.00	1250.00	0
Shionogi	825.00	825.00	0
Fisher Clinical 	4273.58	4273.58	0
House	1200.00	600.00	600
EMD Millipore	2890.00	2890.00	0
EMD	9109.46	2277.365	2400
